第一批本科高校文史类、理工类投档情况统计表                                                
统计时间：2018年7月18日16时                                                
序号   科类        院校代号        院校名称        投档线        "最低投档排名"
258       理工        0381        安徽师范大学        541        30114
259       理工        0421        福建师范大学        562        20867
260       理工        0461        山东师范大学        551        25661
261       理工        0501        河南师范大学        527        38183
262       理工        0541        华中师范大学▲        601        8514
263       理工        0601        国防科技大学★        635        2548
264       理工        0602        湖南师范大学▲        589        11706
265       理工        0662        华南师范大学▲        600        8925
266       理工        0751        海南师范大学        541        30322
267       理工        0771        重庆师范大学        552        25255
268       理工        0772        西南大学▲        594        10396
269       理工        0775        西南大学(荣昌校区)▲        561        21124
270       理工        0791        四川师范大学        552        24960
271       理工        0871        陕西师范大学▲        587        12141
272       理工        0921        西北师范大学        546        27826
273       理工        0981        新疆师范大学        527        38183
274       理工        1001        中央民族大学★        608        6926
275       理工        1002        华北电力大学(北京)▲        609        6718
276       理工        1003        北京大学★        689        42
277       理工        1004        北京大学医学部★        675        198
278       理工        1005        中国人民大学★        667        386
279       理工        1006        清华大学★        688        47
280       理工        1007        北京交通大学▲        616        5357
281       理工        1008        北京科技大学▲        610        6499
282       理工        1009        北京化工大学▲        601        8524
283       理工        1010        北京邮电大学▲        628        3489
284       理工        1011        中国农业大学★        612        6236
285       理工        1012        北京林业大学▲        594        10336
286       理工        1013        北京中医药大学▲        587        12106
287       理工        1014        北京语言大学        595        10182
288       理工        1015        中国传媒大学▲        611        6423
289       理工        1016        中央财经大学▲        653        1083
290       理工        1017        对外经济贸易大学▲        646        1575
291       理工        1018        中国政法大学▲        627        3592
292       理工        1019        中国矿业大学(北京)▲        588        11975
293       理工        1020        中国石油大学(北京)▲        591        10959
294       理工        1021        中国地质大学(北京)▲        590        11465
295       理工        1022        北京航空航天大学★        659        721
296       理工        1023        北京理工大学★        632        2999
297       理工        1024        北京工业大学▲        609        6804
298       理工        1025        北京第二外国语学院        594        10368
299       理工        1026        首都医科大学        624        4140
300       理工        1027        北京外国语大学▲        632        2897
301       理工        1028        北京邮电大学(宏福校区)▲        606        7371
302       理工        1029        中国社会科学院大学        630        3294
303       理工        1041        南开大学★        648        1417
304       理工        1042        天津大学★        629        3382
305       理工        1043        天津医科大学▲        611        6381
306       理工        1045        河北工业大学▲        589        11660
307       理工        1047        天津财经大学        586        12381
308       理工        1071        石家庄铁道大学        554        24329
309       理工        1072        华北电力大学(保定)▲        600        8801
310       理工        1073        燕山大学        579        14653
311       理工        1074        东北大学秦皇岛分校★        593        10599
312       理工        1131        太原理工大学▲        575        16062
313       理工        1191        东北财经大学        602        8289
314       理工        1192        大连理工大学★        618        5089
315       理工        1193        沈阳药科大学        565        19732
316       理工        1194        中国医科大学        603        8169
317       理工        1195        沈阳农业大学        537        32402
318       理工        1196        东北大学★        608        7034
319       理工        1197        辽宁工程技术大学        527        38183
320       理工        1198        辽宁大学▲        585        12677
321       理工        1199        大连理工大学(盘锦校区)★        597        9490
322       理工        1221        吉林大学★        612        6178
